SubjCode,OnEvent,ISI
P501,NF7+,33
P501,SH7+,33
P501,NH7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH7+,33
P501,SF7+,33
P501,NF7+,33
P501,NF7+,34
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,SF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,34
P501,NH7+,34
P501,NH7+,34
P501,NH7+,33
P501,SF7+,33
P501,NH7+,34
P501,NH7+,34
P501,NF7+,33
P501,SH7+,34
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,34
P501,SF7+,33
P501,NF7+,34
P501,NF7+,33
P501,SH7+,34
P501,NF7+,33
P501,NH7+,34
P501,SF7+,34
P501,NH7+,33
P501,SH7+,34
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,NH7+,33
P501,NF7+,33
P501,NF7+,34
P501,NF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NF7+,34
P501,NF7+,33
P501,NF7+,34
P501,SF7+,33
P501,NH7+,33
P501,SH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,NF7+,33
P501,NF7+,34
P501,NF7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,NH7+,34
P501,NF7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,34
P501,SH7+,33
P501,NH7+,33
P501,NH7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NF7+,33
P501,SH7+,34
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,SF7+,32
P501,NH7+,34
P501,NH7+,33
P501,SH7+,33
P501,NH7+,33
P501,NH7+,34
P501,SH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,SF7+,33
P501,NF7+,33
P501,NH7+,33
P501,SH7+,33
P501,NH7+,33
P501,SH7+,34
P501,NF7+,34
P501,NH7+,34
P501,NF7+,34
P501,NF7+,33
P501,NF7+,33
P501,SF7+,33
P501,SH7+,33
